station,year,cd
Gunwi,2010,20100427
Gunwi,2011,20110420
Gunwi,2012,20120422
Gunwi,2013,20130417
Gunwi,2014,20140409
Gunwi,2015,20150421
Gunwi,2016,20160411
Gunwi,2017,20170413
Gunwi,2018,20180410
Gunwi,2019,20190409
Gunwi,2020,20200406
Gunwi,2021,20210403
Gunwi,2022,20220412
Gunwi,2023,20230401
Gunwi,2024,20240411
