station,year,cd
Hwaseong,2010,20100504
Hwaseong,2011,20110507
Hwaseong,2012,20120430
Hwaseong,2013,20130506
Hwaseong,2014,20140418
Hwaseong,2015,20150423
Hwaseong,2016,20160418
Hwaseong,2017,20170420
Hwaseong,2018,20180420
Hwaseong,2019,20190421
Hwaseong,2020,20200419
Hwaseong,2021,20210409
Hwaseong,2022,20220421
Hwaseong,2023,20230414
Hwaseong,2024,20240416
