station,year,dvr2
Hwaseong,2010,20100423
Hwaseong,2011,20110427
Hwaseong,2012,20120428
Hwaseong,2013,20130428
Hwaseong,2014,20140410
Hwaseong,2015,20150414
Hwaseong,2016,20160417
Hwaseong,2017,20170421
Hwaseong,2018,20180413
Hwaseong,2019,20190418
Hwaseong,2020,20200407
Hwaseong,2021,20210403
Hwaseong,2022,20220413
Hwaseong,2023,20230412
Hwaseong,2024,20240407
