,wind,year,month,humid,tmax,sunshine,tmin,station_id,rainfall,snow,day,cloud,date,tavg,Date
0,1.2,2023,1,55.5,3.8,8.5,-6.5,98,0.0,0.0,1,1.8,20230101,-2.6,2023-01-01
1,0.6,2023,1,52.1,-0.3,8.6,-11.6,98,0.0,0.0,2,0.0,20230102,-6.8,2023-01-02
2,0.5,2023,1,54.8,-0.5,8.6,-13.5,98,0.0,0.0,3,3.3,20230103,-7.6,2023-01-03
3,0.2,2023,1,55.0,2.8,8.5,-11.4,98,0.0,0.0,4,0.3,20230104,-5.0,2023-01-04
4,0.3,2023,1,59.8,4.0,8.3,-10.7,98,0.0,0.0,5,1.4,20230105,-4.4,2023-01-05
5,0.9,2023,1,74.1,5.2,5.5,-8.5,98,5.3,0.0,6,4.6,20230106,-1.2,2023-01-06
6,0.9,2023,1,90.0,2.2,0.1,-4.5,98,0.3,0.0,7,10.0,20230107,-0.3,2023-01-07
7,0.4,2023,1,81.8,4.6,7.0,-8.2,98,0.0,0.0,8,2.9,20230108,-1.6,2023-01-08
8,1.1,2023,1,64.8,5.9,8.4,-2.3,98,0.0,0.0,9,1.5,20230109,1.5,2023-01-09
9,0.4,2023,1,70.0,7.5,8.3,-7.9,98,0.0,0.0,10,1.5,20230110,-1.5,2023-01-10
10,0.4,2023,1,66.9,8.7,8.2,-6.5,98,0.0,0.0,11,2.1,20230111,-0.2,2023-01-11
11,0.4,2023,1,57.6,13.2,8.5,-4.8,98,0.0,0.0,12,3.6,20230112,2.4,2023-01-12
12,0.3,2023,1,98.8,6.8,0.0,0.9,98,32.8,0.0,13,7.3,20230113,5.1,2023-01-13
13,0.5,2023,1,97.1,6.4,0.0,1.3,98,3.2,0.0,14,7.0,20230114,4.4,2023-01-14
14,0.5,2023,1,96.6,1.6,0.0,-4.2,98,3.4,0.0,15,9.3,20230115,-1.1,2023-01-15
15,0.7,2023,1,76.9,-2.3,8.7,-9.3,98,0.0,0.0,16,3.4,20230116,-5.9,2023-01-16
16,0.1,2023,1,82.8,-2.8,0.0,-10.5,98,0.0,0.0,17,8.1,20230117,-6.5,2023-01-17
17,0.5,2023,1,73.4,1.7,8.7,-8.0,98,0.0,0.0,18,2.1,20230118,-4.4,2023-01-18
18,0.9,2023,1,75.8,3.1,3.0,-9.5,98,4.5,0.0,19,5.6,20230119,-2.5,2023-01-19
19,2.2,2023,1,63.4,0.8,8.8,-11.6,98,0.0,0.0,20,1.1,20230120,-5.2,2023-01-20
20,0.3,2023,1,66.4,-0.3,8.7,-15.2,98,0.0,0.0,21,2.1,20230121,-7.5,2023-01-21
21,0.3,2023,1,78.4,2.5,2.2,-6.0,98,0.1,0.0,22,6.6,20230122,-2.1,2023-01-22
22,1.5,2023,1,72.8,4.2,6.2,-8.7,98,0.0,0.0,23,5.3,20230123,-2.4,2023-01-23
23,3.1,2023,1,48.9,-8.7,8.9,-18.3,98,0.0,0.0,24,1.0,20230124,-15.4,2023-01-24
24,0.5,2023,1,49.5,-6.6,9.0,-20.3,98,0.0,0.0,25,2.0,20230125,-13.6,2023-01-25
25,0.2,2023,1,78.6,-3.6,0.0,-12.5,98,0.0,0.0,26,7.6,20230126,-7.2,2023-01-26
