,day,year,Date,date,sunshine,wind,snow,tmin,rainfall,tmax,station_id,tavg,cloud,humid,month
0,1,2011,2011-01-01,20110101,7.6,0.8,0.0,-15.0,0.0,-2.0,98,-9.4,2.8,66.6,1
1,2,2011,2011-01-02,20110102,8.4,0.7,0.0,-15.0,0.0,0.9,98,-8.4,0.0,66.3,1
2,3,2011,2011-01-03,20110103,6.9,0.7,0.0,-14.3,0.0,2.1,98,-7.0,3.5,70.5,1
3,4,2011,2011-01-04,20110104,8.1,0.8,0.0,-13.1,0.0,0.5,98,-6.4,4.1,70.3,1
4,5,2011,2011-01-05,20110105,3.9,1.9,0.0,-8.9,0.0,-1.5,98,-4.8,4.4,62.3,1
5,6,2011,2011-01-06,20110106,8.5,0.6,0.0,-13.8,0.0,-3.4,98,-9.3,0.0,58.6,1
6,7,2011,2011-01-07,20110107,8.6,0.4,0.0,-15.7,0.0,-1.6,98,-9.6,0.0,58.0,1
7,8,2011,2011-01-08,20110108,1.6,0.6,0.2,-13.7,0.2,-0.2,98,-5.7,6.3,71.4,1
8,9,2011,2011-01-09,20110109,8.6,2.5,0.0,-10.7,0.0,-1.4,98,-6.8,1.4,49.5,1
9,10,2011,2011-01-10,20110110,7.8,0.8,0.0,-16.4,0.0,-3.1,98,-10.1,2.6,52.0,1
10,11,2011,2011-01-11,20110111,0.5,1.6,0.6,-12.8,0.4,-1.3,98,-7.0,7.3,67.0,1
11,12,2011,2011-01-12,20110112,8.8,2.2,0.0,-12.5,0.0,-2.8,98,-8.8,0.0,43.9,1
12,13,2011,2011-01-13,20110113,8.0,0.5,0.0,-16.0,0.0,-0.1,98,-8.4,2.1,51.1,1
13,14,2011,2011-01-14,20110114,4.0,1.6,1.5,-9.0,1.0,1.5,98,-4.5,5.4,57.4,1
14,15,2011,2011-01-15,20110115,8.5,3.5,0.0,-16.4,0.0,-8.2,98,-12.7,0.5,40.0,1
15,16,2011,2011-01-16,20110116,9.1,1.7,0.0,-18.6,0.0,-9.3,98,-14.8,0.0,41.1,1
16,17,2011,2011-01-17,20110117,9.2,0.8,0.0,-19.1,0.0,-3.9,98,-11.8,0.0,53.9,1
17,18,2011,2011-01-18,20110118,7.0,1.1,0.0,-16.5,0.0,-2.0,98,-9.5,2.6,54.1,1
18,19,2011,2011-01-19,20110119,9.0,1.1,0.0,-14.7,0.0,-2.3,98,-8.9,0.3,50.9,1
19,20,2011,2011-01-20,20110120,9.1,0.8,0.0,-14.5,0.0,-3.3,98,-9.6,0.8,51.1,1
20,21,2011,2011-01-21,20110121,8.6,0.9,0.0,-13.8,0.0,-1.5,98,-8.6,2.3,53.3,1
21,22,2011,2011-01-22,20110122,6.5,0.9,0.9,-11.1,0.5,1.3,98,-5.9,3.9,58.3,1
22,23,2011,2011-01-23,20110123,0.0,0.8,4.5,-10.3,4.2,-2.5,98,-6.2,6.9,74.9,1
23,24,2011,2011-01-24,20110124,8.5,0.9,0.0,-13.8,0.0,-4.0,98,-9.7,1.3,64.9,1
