,Date,station_id,month,rainfall,tmax,date,year,cloud,sunshine,tavg,humid,snow,tmin,day,wind
0,2017-01-01,98,1,0.0,7.7,20170101,2017,0.0,3.2,1.8,76.3,0.0,-4.3,1,0.6
1,2017-01-02,98,1,0.0,9.7,20170102,2017,0.0,3.0,4.5,76.9,0.0,0.2,2,1.3
2,2017-01-03,98,1,0.0,8.1,20170103,2017,0.0,8.2,0.7,66.5,0.0,-4.6,3,1.2
3,2017-01-04,98,1,0.0,9.7,20170104,2017,0.0,8.1,2.5,62.1,0.0,-1.5,4,1.0
4,2017-01-05,98,1,0.0,9.3,20170105,2017,0.0,0.4,2.7,60.1,0.0,-3.4,5,1.3
5,2017-01-06,98,1,0.0,11.9,20170106,2017,0.0,7.5,4.2,61.6,0.0,0.3,6,1.0
6,2017-01-07,98,1,0.0,11.2,20170107,2017,0.0,6.1,2.5,70.1,0.0,-3.1,7,1.1
7,2017-01-08,98,1,0.2,13.6,20170108,2017,0.0,3.6,5.8,65.3,0.0,0.8,8,1.7
8,2017-01-09,98,1,0.0,6.4,20170109,2017,0.0,4.7,1.9,57.6,0.0,-3.2,9,2.8
9,2017-01-10,98,1,0.0,3.6,20170110,2017,0.0,9.0,-3.7,46.8,0.0,-8.1,10,2.4
10,2017-01-11,98,1,0.0,2.2,20170111,2017,0.0,9.0,-4.4,38.1,0.0,-11.1,11,1.7
11,2017-01-12,98,1,0.0,3.4,20170112,2017,0.0,9.1,-3.2,44.4,0.0,-7.1,12,2.4
12,2017-01-13,98,1,0.3,0.6,20170113,2017,0.0,6.2,-6.1,44.3,0.0,-9.3,13,2.6
13,2017-01-14,98,1,0.0,-2.6,20170114,2017,0.0,9.1,-8.2,30.9,0.0,-11.1,14,3.3
14,2017-01-15,98,1,0.0,1.2,20170115,2017,0.0,9.3,-6.9,37.5,0.0,-13.3,15,1.3
15,2017-01-16,98,1,0.0,4.2,20170116,2017,0.0,9.2,-4.8,41.6,0.0,-12.5,16,1.1
16,2017-01-17,98,1,0.0,5.1,20170117,2017,0.0,8.7,-3.2,45.9,0.0,-10.4,17,0.9
17,2017-01-18,98,1,0.0,3.9,20170118,2017,0.0,1.8,-1.8,69.0,0.0,-6.3,18,1.0
18,2017-01-19,98,1,0.0,5.0,20170119,2017,0.0,7.1,-2.0,56.5,0.0,-7.7,19,1.3
19,2017-01-20,98,1,2.1,0.3,20170120,2017,0.0,4.8,-4.0,60.5,0.0,-8.8,20,2.5
20,2017-01-21,98,1,1.0,-0.5,20170121,2017,0.0,3.7,-6.0,73.6,0.0,-12.8,21,1.1
21,2017-01-22,98,1,0.1,-3.2,20170122,2017,0.0,8.9,-8.0,42.6,0.0,-11.2,22,3.6
22,2017-01-23,98,1,0.0,-2.0,20170123,2017,0.0,9.3,-9.2,50.3,0.0,-14.6,23,1.3
23,2017-01-24,98,1,0.0,0.5,20170124,2017,0.0,9.3,-8.1,51.6,0.0,-14.9,24,1.1
24,2017-01-25,98,1,0.0,2.5,20170125,2017,0.0,9.3,-6.6,50.4,0.0,-14.1,25,1.1
25,2017-01-26,98,1,2.5,4.0,20170126,2017,0.0,2.7,-2.4,63.3,0.0,-11.6,26,2.2
26,2017-01-27,98,1,4.1,4.3,20170127,2017,0.0,9.1,-2.3,47.4,0.0,-7.3,27,3.3
27,2017-01-28,98,1,0.0,4.9,20170128,2017,0.0,8.1,-2.9,46.3,0.0,-11.1,28,1.0
28,2017-01-29,98,1,5.2,1.3,20170129,2017,0.0,0.0,0.0,72.0,0.0,-0.8,29,1.2
29,2017-01-30,98,1,0.0,-0.4,20170130,2017,0.0,8.6,-5.1,63.9,0.0,-10.1,30,2.4
30,2017-01-31,98,1,0.0,1.0,20170131,2017,0.0,8.3,-6.8,53.9,0.0,-12.9,31,1.0
31,2017-02-01,98,2,0.0,2.6,20170201,2017,0.0,9.6,-4.4,45.6,0.0,-8.7,1,2.6
32,2017-02-02,98,2,0.0,4.2,20170202,2017,0.0,9.6,-3.6,51.5,0.0,-11.8,2,1.2
33,2017-02-03,98,2,0.0,6.8,20170203,2017,0.0,8.7,-0.5,67.1,0.0,-6.7,3,1.0
34,2017-02-04,98,2,0.0,3.0,20170204,2017,0.0,0.7,-0.5,75.5,0.0,-5.4,4,0.7
35,2017-02-05,98,2,1.2,2.9,20170205,2017,0.0,0.0,0.8,74.8,0.0,-2.0,5,1.8
36,2017-02-06,98,2,0.0,4.5,20170206,2017,0.0,9.7,-1.3,48.5,0.0,-5.0,6,2.2
37,2017-02-07,98,2,0.0,3.9,20170207,2017,0.0,2.6,-2.6,49.4,0.0,-8.1,7,1.1
38,2017-02-08,98,2,0.0,3.0,20170208,2017,0.0,2.9,-2.4,52.1,0.0,-7.7,8,1.6
39,2017-02-09,98,2,0.0,0.2,20170209,2017,0.0,9.1,-4.7,43.9,0.0,-7.4,9,3.2
40,2017-02-10,98,2,0.0,-0.4,20170210,2017,0.0,9.7,-6.2,39.9,0.0,-10.0,10,3.3
41,2017-02-11,98,2,0.0,2.2,20170211,2017,0.0,9.9,-4.3,40.5,0.0,-10.1,11,2.3
42,2017-02-12,98,2,0.0,5.5,20170212,2017,0.0,9.9,-2.6,50.3,0.0,-9.7,12,1.5
43,2017-02-13,98,2,0.0,6.8,20170213,2017,0.0,7.3,-1.4,57.6,0.0,-8.7,13,1.1
44,2017-02-14,98,2,0.0,8.0,20170214,2017,0.0,10.0,-0.6,44.9,0.0,-7.1,14,1.4
45,2017-02-15,98,2,0.0,9.0,20170215,2017,0.0,8.3,0.6,51.3,0.0,-6.5,15,1.1
