,station,year,Date
0,Cheonan,2024,2024-04-11
0,Cheonan,2023,2023-04-08
0,Cheonan,2022,2022-04-16
0,Cheonan,2021,2021-04-09
0,Cheonan,2020,2020-04-09
0,Cheonan,2019,2019-04-16
0,Cheonan,2017,2017-04-16
0,Cheonan,2016,2016-04-15
0,Cheonan,2014,2014-04-15
0,Cheonan,2013,2013-04-29
0,Cheonan,2012,2012-04-24
0,Cheonan,2011,2011-04-30
