기상모니터링 기상통계										
지역명 :	경기포천									
통계구분 :	기간									
기간 :	2020-04-01~2020-05-31									
일자	기온(Temperature)				습도	강우량	일사량	결로시간	풍속	
					(%)	(mm)	(MJ/m2)	(min)	(m/s)	
	평균	표준편차	최고	최저					평균	최대
2020-04-01	8.8	-	18.1	2	57.6	0	16.6	0	1.5	5.6
2020-04-02	6.5	-	16	-3.2	56.5	0	22.4	79	1.4	4.6
2020-04-03	7.6	-	16.9	-2.9	49.5	0	23.4	0	1.9	5.4
2020-04-04	8	-	13.6	0	39.9	0	21.7	0	1.9	5.2
2020-04-05	4.9	-	14.3	-5.6	34.4	0	24.4	0	1	3.6
2020-04-06	7	-	17	-3.6	45.4	0	23.5	0	1.2	4.7
2020-04-07	8.6	-	17.9	-0.2	56.3	0	19.8	0	1.6	4.8
2020-04-08	7.2	-	14.1	-2	39.5	0	24.6	0	1.1	5.8
2020-04-09	6.8	-	14.7	-2.7	46.6	0	23.4	0	0.9	4.7
2020-04-10	8.2	-	14.9	0.6	53.7	0	17.8	0	0.8	3.9
2020-04-11	8.4	-	16.1	-0.2	58.1	0	18.4	0	1.1	4.5
2020-04-12	6.9	-	11.9	1.1	66.8	0	11.9	107	2.7	6.1
2020-04-13	8.6	-	18	-1.7	45.2	0	23.8	6	1.8	6.3
2020-04-14	10.2	-	20.5	-1.7	39.9	0	23.6	0	1.6	4.4
2020-04-15	11.4	-	21.7	0.8	44.9	0	20.5	0	0.9	3.4
2020-04-16	14.1	-	22.5	4.6	46.5	0	21.9	0	1.4	3.8
2020-04-17	9.8	-	12	6.9	83.3	13.5	3	1007	0.6	4.5
2020-04-18	12.4	-	19.7	5.5	71.7	0	25.9	546	0.9	3.3
2020-04-19	10.8	-	15.9	7.7	77.6	5.5	6.4	485	0.7	2.6
2020-04-20	8.9	-	11.5	6	78.2	0	5.3	798	1.6	5.4
2020-04-21	6.2	-	9.8	2.9	47.1	0	19.9	0	2.8	6.2
2020-04-22	5	-	8.7	2.6	45	0	17.6	0	2.5	5.2
2020-04-23	6.8	-	13.8	-0.2	45.7	0	21.3	0	2.4	5.6
2020-04-24	8	-	15.4	-1.3	52.4	0	20.9	0	2.5	5.9
2020-04-25	11.8	-	17.1	5.6	54	1	11.3	91	2.5	5.8
2020-04-26	9.9	-	17.8	1.1	54.9	0	21.3	0	1.3	4.3
2020-04-27	10	-	17	2	50.5	0	18.5	0	0.9	4.1
2020-04-28	11.3	-	19.8	0.6	49.2	0	23.8	0	1.9	6.1
2020-04-29	13.5	-	21.2	6.6	51.6	0	21.2	0	1.9	5.1
2020-04-30	13.5	-	22.8	2.3	63.5	0	19	0	1.5	5.9
2020-05-01	19	-	25.6	14	74.5	0	17.7	0	1.7	4.1
2020-05-02	18.9	-	21.8	15.3	84.2	0	5.3	0	1.3	2.7
2020-05-03	20.6	-	27.4	14.6	70.5	0	16.7	18	0.8	2.7
2020-05-04	21.1	-	27	15.5	63	0	19.4	0	1.5	3.5
2020-05-05	16.3	-	21.5	10.9	69.4	0	14.6	0	1	4.6
2020-05-06	17.3	-	27.1	7.5	54.7	0	24.6	24	0.8	2.9
2020-05-07	18.6	-	25.7	11.8	39.4	0	20.2	0	0.7	2.6
2020-05-08	17.7	-	26.4	11.9	53.1	8	15.5	240	0.7	3.6
2020-05-09	13.6	-	15.5	11.6	97.1	45.5	2	1361	0.4	2.1
2020-05-10	14	-	16.7	12.2	91.9	2	4.9	855	1.2	3
2020-05-11	15.6	-	20.9	11.4	62.5	0.5	22.1	108	1.9	5.1
2020-05-12	12.6	-	19	8.3	74.8	2.5	11.9	516	1.5	4.1
2020-05-13	14.2	-	22.6	5.3	55.7	0	25.2	0	1.9	6
2020-05-14	15.5	-	23.8	7.2	52.9	0	16.3	0	0.7	2.8
2020-05-15	14.1	-	15.7	12.3	87.2	9	3.8	1150	0.5	1.5
2020-05-16	16.5	-	20.6	13.6	89	2	9.3	679	0.6	2.4
2020-05-17	18.3	-	23.9	15	83.4	0	16.3	78	1.2	3
2020-05-18	17.8	-	26.1	12.5	82.9	65	12.1	656	1.2	7
2020-05-19	11.3	-	13.8	8.7	81.1	14.5	11.6	752	2	5.7
2020-05-20	11.8	-	18.6	4.9	71.8	0	19.8	0	1.1	4.4
2020-05-21	14.3	-	21.4	6.4	73.2	0	21.8	0	0.5	2.3
2020-05-22	16	-	20.9	11.3	79.5	0	12.5	486	0.5	2.3
2020-05-23	18.1	-	23.7	13.5	72.5	0	15.3	48	0.8	2.8
2020-05-24	17.2	-	22.1	14.7	84.8	19.5	11.4	711	1.5	3.5
2020-05-25	17.4	-	21.9	13.6	80.9	0	19.1	0	1.1	3.2
2020-05-26	15.7	-	21.3	11.2	84.4	3	11	479	0.6	2.2
2020-05-27	15.9	-	23.9	9	75.7	0	21.4	569	0.8	3.3
2020-05-28	15.9	-	21.2	11.7	75.9	0.5	15	186	0.4	2.2
2020-05-29	18.3	-	28	9.4	67.4	0	25.7	146	0.5	1.8
2020-05-30	20.5	-	29.2	11.2	65.4	0	25.2	27	0.7	2.5
2020-05-31	19.7	-	27.1	12.8	69.9	0.5	18.7	70	1.1	3.2
