기상모니터링 기상통계										
지역명 :	경기포천									
통계구분 :	기간									
기간 :	2022-04-01~2022-05-31									
일자	기온(Temperature)				습도	강우량	일사량	결로시간	풍속	
					(%)	(mm)	(MJ/m2)	(min)	(m/s)	
	평균	표준편차	최고	최저					평균	최대
2022-04-01	7.1	-	14.3	-0.3	55.9	0	24.2	0	1.2	4
2022-04-02	5.8	-	14	-3	53.1	0	23.1	0	1.2	4.2
2022-04-03	7.3	-	16.5	-2.7	54.1	0	23.3	0	1.1	4.3
2022-04-04	8	-	16.5	-0.7	55.7	0	23.5	0	1.5	4.3
2022-04-05	8.2	-	15.5	-1.6	47.8	0	20.6	0	1.5	4.7
2022-04-06	10.5	-	16.7	4.7	42.8	0	19.9	0	1.3	4.2
2022-04-07	10.3	-	16.2	5.2	43.7	0	23.8	0	2	5.7
2022-04-08	9.8	-	20	-0.6	56.5	0	23.3	0	1.1	4.6
2022-04-09	15.6	-	24.2	5.2	48.9	0	20.2	0	2	6.5
2022-04-10	15.8	-	24.6	6	51.3	0	22.3	0	1.5	4.6
2022-04-11	16.6	-	26.3	7.1	64	0	22	0	1.2	3.9
2022-04-12	17.8	-	24.3	13	76.9	3	13.2	277	1.6	3.9
2022-04-13	11	-	14.4	8.7	63.6	0.5	9.9	209	2.4	5.7
2022-04-14	11.5	-	16.1	7.7	49.7	0	14.9	0	2.7	5.1
2022-04-15	10.5	-	18.4	2.6	50.9	0	21.7	0	1.1	4.8
2022-04-16	10.4	-	19.3	0.4	50.6	0	25.5	0	1.4	4.6
2022-04-17	11.6	-	20.9	1.1	45.7	0	24.5	0	1.5	4.9
2022-04-18	14	-	21.1	8.4	41.2	0	19.5	0	1.8	6.1
2022-04-19	12.8	-	21.8	2.8	47.9	0	23.6	0	1.5	5.3
2022-04-20	12.9	-	21.8	2.7	48.6	0	23.7	0	1.5	4.6
2022-04-21	13.3	-	21.4	3	55.4	0	18.6	0	1.8	5.8
2022-04-22	14	-	15.4	12.2	74.8	0	2.8	331	1.9	3.9
2022-04-23	14.8	-	24.7	6.9	64.1	0	21.1	282	0.8	2.7
2022-04-24	15.9	-	23.4	8.3	68.5	0	16.8	0	1.4	4.2
2022-04-25	18	-	23.1	14.3	79.8	0	8.8	52	0.3	1.8
2022-04-26	21.2	-	28.6	15.2	58.3	0	22.1	190	1.2	4
2022-04-27	15.3	-	22.9	5.9	33.3	0	23.2	0	0.8	3.3
2022-04-28	13.7	-	23.1	4.6	58.2	0	17.7	0	1.4	4.4
2022-04-29	10	-	14.5	6.3	78.1	16.5	13.8	533	2	4.1
2022-04-30	9.8	-	14.7	5.1	80.6	0	8.8	157	0.8	4.9
2022-05-01	10.3	-	18.2	1.3	62.7	0	23.5	122	1.7	6.3
2022-05-02	10.2	-	17.9	2.9	63.9	0	18.5	194	0.5	3.5
2022-05-03	11.1	-	19.9	1.3	55.4	0	23	0	1.3	4.4
2022-05-04	14.1	-	24.7	2.5	56.8	0	23.1	0	1.3	4.8
2022-05-05	15.8	-	24.9	5.9	59.9	0	24	0	1.1	3.9
2022-05-06	16.5	-	24.3	7.7	70.8	0	20.1	22	1	3.8
2022-05-07	17.2	-	22	12.3	57	0	18.4	195	1.1	3.8
2022-05-08	12.5	-	16.6	9.1	61.7	3	6.2	483	0.3	2.3
2022-05-09	14.7	-	25.2	6.7	62.4	0	24.4	484	0.6	3.4
2022-05-10	15.8	-	25.4	6	49.7	0	22	0	0.6	2.4
2022-05-11	17.8	-	23.6	12.4	51.1	0	21.6	0	1.2	3.6
2022-05-12	17.2	-	25.5	9.2	58.5	0	23.4	0	1.3	3.5
2022-05-13	15.4	-	23.2	8	51.5	0	14.4	0	1.2	4.3
2022-05-14	12.8	-	19.9	4.2	51.7	0	23.6	0	1.3	4.4
2022-05-15	13.3	-	22	2.6	48.9	0	23.9	0	1.1	3.9
2022-05-16	15.1	-	23.1	4.8	52.1	0	22.7	0	1.8	4.3
2022-05-17	17.3	-	26	8.3	65.5	0	21.8	0	1	3.6
2022-05-18	18	-	24	11.2	63.3	0	11.9	15	1.4	4.3
2022-05-19	17.8	-	25.1	9.7	61.6	0	21	2	1.3	4.6
2022-05-20	18	-	25.4	9.1	58.4	0	21.4	0	1.1	3.9
2022-05-21	18.9	-	26	12.5	70.2	0	22.1	0	1.3	4
2022-05-22	17.7	-	23.5	13.4	76.9	0	14.1	0	0.9	3.4
2022-05-23	20.2	-	29.7	11.4	72.5	0	21.9	183	0.9	3
2022-05-24	21	-	29.5	12.6	59.2	0	22.5	18	1.1	3
2022-05-25	18.6	-	26	11	66.7	15	18.4	247	1.3	4
2022-05-26	16.7	-	21.9	12	64.6	0.5	20.7	623	2.2	6.2
2022-05-27	18	-	23.8	13.3	67.7	0.5	19.8	556	1.1	3.7
2022-05-28	18.9	-	29.4	9	63.3	0	23	16	1.4	4.9
2022-05-29	19.5	-	27.7	10.9	69.3	0	20.6	0	0.6	2.4
2022-05-30	18.4	-	23.7	13	83	0	8.4	131	0.6	3.1
2022-05-31	17	-	26	8.1	57.9	0	24.1	112	1.2	5.4
