station,year,Date
wanju,2004,2004-04-22
wanju,2005,2005-04-27
wanju,2006,2006-05-03
wanju,2007,2007-04-30
wanju,2008,2008-04-21
wanju,2009,2009-04-25
wanju,2010,2010-05-04
wanju,2011,2011-05-03
wanju,2012,2012-04-30
wanju,2013,2013-05-05
wanju,2014,2014-04-21
wanju,2015,2015-04-23
wanju,2016,2016-04-19
wanju,2017,2017-04-26
wanju,2018,2018-04-22
wanju,2019,2019-04-30
wanju,2020,2020-05-02
wanju,2021,2021-04-25
wanju,2022,2022-04-22
wanju,2023,2023-04-21
wanju,2024,2024-04-19
