station,year,Date
Sangju,2004,2004-04-19
Sangju,2005,2005-04-25
Sangju,2006,2006-04-30
Sangju,2007,2007-04-28
Sangju,2008,2008-04-22
Sangju,2009,2009-04-24
Sangju,2010,2010-05-05
Sangju,2011,2011-05-01
Sangju,2012,2012-04-28
Sangju,2013,2013-05-02
Sangju,2014,2014-04-19
Sangju,2015,2015-04-24
Sangju,2016,2016-04-20
Sangju,2017,2017-04-21
Sangju,2018,2018-04-19
Sangju,2019,2019-04-25
Sangju,2020,2020-04-28
Sangju,2021,2021-04-23
Sangju,2022,2022-04-20
Sangju,2023,2023-04-20
Sangju,2024,2024-04-21
