station,year,dvr1,dvr2,cd,obj
Pocheon,2010,1900-05-04,1900-04-25,1900-05-04,
Pocheon,2011,1900-05-08,1900-05-01,1900-05-03,
Pocheon,2012,1900-04-30,1900-04-25,1900-04-29,
Pocheon,2013,1900-05-05,1900-04-30,1900-05-01,
Pocheon,2014,1900-04-20,1900-04-14,1900-04-17,
Pocheon,2015,1900-04-28,1900-04-18,1900-04-22,
Pocheon,2016,1900-04-20,1900-04-25,1900-04-15,1900-04-26
Pocheon,2017,1900-04-24,1900-04-26,1900-04-16,1900-04-27
Pocheon,2018,1900-04-21,1900-04-15,1900-04-19,1900-05-01
Pocheon,2019,1900-04-24,1900-04-21,1900-04-23,
Pocheon,2020,1900-04-26,1900-04-14,1900-04-15,
Pocheon,2021,1900-04-18,1900-04-08,1900-04-07,
Pocheon,2022,1900-04-21,1900-04-17,1900-04-18,
Pocheon,2023,1900-04-19,1900-04-19,1900-04-12,1900-04-21
Pocheon,2024,1900-04-18,1900-04-12,1900-04-14,1900-04-24
