,year,month,tmin,tavg,tmax
0,2020,April,-0.0387096774193548,6.693548387096775,14.374193548387098
0,2020,March,3.2833333333333328,10.213333333333335,17.933333333333337
0,2021,April,1.5903225806451615,7.745161290322581,15.503225806451614
0,2021,March,6.7,13.01666666666667,20.346666666666668
