,tmax,year,tmin,humid,cloud,sunshine,date,day,rainfall,station_id,Date,wind,month,tavg,snow
0,0.7,2021,-14.3,81.4,4.1,3.6,20210101,1,0.4,278,2021-01-01,0.5,1,-5.9,0.0
1,1.9,2021,-10.1,66.3,0.8,7.6,20210102,2,0.0,278,2021-01-02,1.2,1,-4.9,0.0
2,1.9,2021,-12.5,61.5,5.9,6.7,20210103,3,0.0,278,2021-01-03,1.1,1,-5.7,0.0
3,3.9,2021,-13.2,65.1,2.3,7.8,20210104,4,0.0,278,2021-01-04,0.4,1,-5.4,0.0
4,1.9,2021,-11.2,53.1,2.8,7.3,20210105,5,0.0,278,2021-01-05,1.6,1,-3.7,0.0
5,0.5,2021,-16.2,57.8,2.3,8.4,20210106,6,0.0,278,2021-01-06,0.9,1,-7.8,0.0
6,-4.5,2021,-19.4,46.3,1.4,8.4,20210107,7,1.3,278,2021-01-07,3.2,1,-11.5,0.0
7,-6.4,2021,-21.6,57.6,0.0,8.5,20210108,8,0.0,278,2021-01-08,1.4,1,-14.1,0.0
8,-3.6,2021,-20.2,60.3,0.6,8.5,20210109,9,0.0,278,2021-01-09,1.4,1,-12.2,0.0
9,0.1,2021,-18.1,60.6,0.6,8.3,20210110,10,0.0,278,2021-01-10,0.8,1,-9.7,0.0
10,-1.7,2021,-14.2,68.1,7.1,1.2,20210111,11,0.0,278,2021-01-11,0.3,1,-8.0,0.0
11,3.4,2021,-15.1,70.1,2.0,6.6,20210112,12,0.0,278,2021-01-12,0.6,1,-6.3,0.0
12,10.3,2021,-9.2,69.3,0.0,7.9,20210113,13,0.0,278,2021-01-13,0.6,1,-0.5,0.0
13,11.6,2021,-6.2,59.5,0.0,8.3,20210114,14,0.0,278,2021-01-14,0.3,1,0.4,0.0
14,13.9,2021,-5.7,61.6,6.3,4.2,20210115,15,0.0,278,2021-01-15,1.0,1,4.3,0.0
15,5.8,2021,-4.4,50.5,2.9,8.3,20210116,16,0.0,278,2021-01-16,2.2,1,-0.3,0.0
16,1.4,2021,-10.7,44.6,4.1,8.7,20210117,17,0.0,278,2021-01-17,1.7,1,-4.2,0.0
17,4.7,2021,-9.3,68.3,3.8,1.5,20210118,18,0.0,278,2021-01-18,1.8,1,-3.4,0.0
18,1.8,2021,-13.8,55.3,0.3,8.7,20210119,19,0.0,278,2021-01-19,0.4,1,-7.1,0.0
19,7.5,2021,-13.5,55.4,0.3,8.5,20210120,20,0.0,278,2021-01-20,0.3,1,-4.7,0.0
20,12.3,2021,-8.3,69.3,7.5,5.0,20210121,21,0.6,278,2021-01-21,0.4,1,2.2,0.0
21,10.7,2021,3.1,94.6,8.3,0.8,20210122,22,0.8,278,2021-01-22,0.3,1,5.8,0.0
22,11.3,2021,2.7,80.8,9.3,0.0,20210123,23,0.1,278,2021-01-23,1.7,1,7.3,0.0
23,12.1,2021,-1.4,78.1,7.1,3.0,20210124,24,0.0,278,2021-01-24,0.8,1,4.9,0.0
24,14.0,2021,-3.0,76.0,5.1,6.5,20210125,25,0.0,278,2021-01-25,0.4,1,4.2,0.0
25,6.7,2021,-0.8,96.1,8.8,0.2,20210126,26,5.1,278,2021-01-26,0.2,1,3.0,0.0
26,9.4,2021,-2.7,69.0,7.1,6.9,20210127,27,0.0,278,2021-01-27,0.8,1,2.5,0.0
27,8.8,2021,-5.9,63.9,4.8,5.2,20210128,28,0.3,278,2021-01-28,2.8,1,-1.3,0.0
28,-0.7,2021,-10.1,38.4,0.0,8.8,20210129,29,0.0,278,2021-01-29,3.4,1,-5.9,0.0
29,6.2,2021,-12.4,66.4,3.6,4.0,20210130,30,0.0,278,2021-01-30,0.6,1,-3.7,0.0
30,12.3,2021,-9.5,63.3,1.9,8.3,20210131,31,0.0,278,2021-01-31,0.5,1,0.1,0.0
31,9.2,2021,0.1,91.3,8.9,0.0,20210201,1,10.2,278,2021-02-01,0.5,2,4.5,0.0
32,5.3,2021,-6.6,35.0,1.1,9.0,20210202,2,0.0,278,2021-02-02,3.5,2,-1.7,0.0
33,3.8,2021,-9.5,47.8,1.0,9.0,20210203,3,0.0,278,2021-02-03,1.6,2,-2.7,0.0
34,5.0,2021,-7.3,45.9,1.5,9.3,20210204,4,0.0,278,2021-02-04,1.9,2,-1.1,0.0
35,9.0,2021,-10.0,58.9,5.5,4.8,20210205,5,0.0,278,2021-02-05,0.5,2,-1.7,0.0
36,13.1,2021,-7.7,72.3,2.9,5.2,20210206,6,0.0,278,2021-02-06,0.7,2,0.9,0.0
37,12.9,2021,-3.4,59.0,0.3,8.2,20210207,7,0.0,278,2021-02-07,1.5,2,4.4,0.0
38,4.3,2021,-6.8,43.8,0.0,9.3,20210208,8,0.0,278,2021-02-08,2.4,2,-1.4,0.0
