,day,year,Date,date,sunshine,wind,snow,tmin,rainfall,tmax,station_id,tavg,cloud,humid,month
0,1,2017,2017-01-01,20170101,5.7,0.6,0.0,-6.1,0.0,9.9,278,0.0,0.0,79.1,1
1,2,2017,2017-01-02,20170102,4.6,0.7,0.0,-5.0,0.0,11.2,278,1.1,0.0,81.0,1
2,3,2017,2017-01-03,20170103,8.3,1.0,0.0,-5.1,0.0,10.1,278,0.4,0.0,67.6,1
3,4,2017,2017-01-04,20170104,7.8,0.7,0.0,-6.0,0.0,11.4,278,0.8,0.0,72.5,1
4,5,2017,2017-01-05,20170105,1.1,1.1,0.0,-4.3,0.0,8.7,278,2.4,0.0,74.4,1
5,6,2017,2017-01-06,20170106,3.0,0.7,0.0,-2.9,0.0,10.1,278,3.2,0.0,73.4,1
6,7,2017,2017-01-07,20170107,5.4,0.4,0.0,-6.1,0.0,10.1,278,1.2,0.0,74.6,1
7,8,2017,2017-01-08,20170108,1.0,0.5,0.0,1.5,0.0,12.3,278,5.9,0.0,72.8,1
8,9,2017,2017-01-09,20170109,5.9,2.5,0.0,-5.0,0.0,9.4,278,4.2,0.0,55.6,1
9,10,2017,2017-01-10,20170110,8.3,2.4,0.0,-7.5,0.0,5.1,278,-1.0,0.0,49.3,1
10,11,2017,2017-01-11,20170111,8.6,2.5,0.0,-6.5,0.0,3.6,278,-2.2,0.0,37.0,1
11,12,2017,2017-01-12,20170112,3.7,1.9,0.0,-7.1,0.0,6.7,278,-1.3,0.0,57.4,1
12,13,2017,2017-01-13,20170113,5.6,2.3,0.0,-10.5,0.0,3.2,278,-3.4,0.0,46.6,1
13,14,2017,2017-01-14,20170114,8.6,3.1,0.0,-12.2,0.0,-1.7,278,-6.5,0.0,34.8,1
14,15,2017,2017-01-15,20170115,8.6,1.3,0.0,-16.7,0.0,2.7,278,-7.7,0.0,45.3,1
15,16,2017,2017-01-16,20170116,8.6,0.8,0.0,-15.1,0.0,5.7,278,-6.4,0.0,54.0,1
16,17,2017,2017-01-17,20170117,6.9,0.5,0.0,-13.2,0.0,5.3,278,-5.3,0.0,56.5,1
17,18,2017,2017-01-18,20170118,3.7,0.7,0.0,-11.0,0.0,5.6,278,-3.7,0.0,63.1,1
18,19,2017,2017-01-19,20170119,7.8,0.5,0.0,-10.4,0.0,7.7,278,-2.7,0.0,67.1,1
19,20,2017,2017-01-20,20170120,2.2,1.8,0.0,-10.1,0.4,1.0,278,-4.0,0.0,69.9,1
20,21,2017,2017-01-21,20170121,8.5,1.0,0.0,-14.5,0.0,3.3,278,-5.6,0.0,66.3,1
21,22,2017,2017-01-22,20170122,8.8,3.5,0.0,-9.6,0.5,-1.3,278,-4.6,0.0,49.1,1
22,23,2017,2017-01-23,20170123,8.8,1.6,0.0,-15.5,0.0,-0.3,278,-8.7,0.0,53.1,1
23,24,2017,2017-01-24,20170124,8.9,1.3,0.0,-16.6,0.0,2.6,278,-8.2,0.0,51.6,1
24,25,2017,2017-01-25,20170125,9.1,1.1,0.0,-16.2,0.0,3.9,278,-7.3,0.0,54.0,1
25,26,2017,2017-01-26,20170126,8.1,0.8,0.0,-15.3,0.0,7.9,278,-5.0,0.0,51.0,1
26,27,2017,2017-01-27,20170127,8.0,2.0,0.0,-6.7,0.1,6.4,278,-0.4,0.0,40.4,1
27,28,2017,2017-01-28,20170128,8.0,0.6,0.0,-12.5,0.0,10.2,278,-2.1,0.0,40.4,1
28,29,2017,2017-01-29,20170129,0.2,0.5,0.0,-1.7,1.0,7.7,278,3.0,0.0,56.1,1
29,30,2017,2017-01-30,20170130,7.9,2.8,0.0,-8.7,0.1,3.3,278,-1.1,0.0,59.3,1
