,wind,year,month,humid,tmax,sunshine,tmin,station_id,rainfall,snow,day,cloud,date,tavg,Date
0,1.8,2019,1,57.8,3.3,5.5,-12.3,278,0.0,0.0,1,4.6,20190101,-4.8,2019-01-01
1,1.2,2019,1,56.6,4.5,8.5,-12.4,278,0.0,0.0,2,0.0,20190102,-5.6,2019-01-02
2,0.9,2019,1,50.3,5.8,8.5,-13.7,278,0.0,0.0,3,0.0,20190103,-5.7,2019-01-03
3,1.0,2019,1,48.9,6.7,6.8,-12.6,278,0.0,0.0,4,0.6,20190104,-3.8,2019-01-04
4,1.0,2019,1,51.9,6.5,8.3,-9.2,278,0.0,0.0,5,2.6,20190105,-2.8,2019-01-05
5,0.7,2019,1,46.6,6.6,7.3,-11.5,278,0.0,0.0,6,3.6,20190106,-4.9,2019-01-06
6,1.0,2019,1,53.4,6.6,8.0,-12.7,278,0.0,0.0,7,3.9,20190107,-3.6,2019-01-07
7,2.2,2019,1,42.1,5.3,8.5,-8.7,278,0.0,0.0,8,1.8,20190108,-1.8,2019-01-08
8,0.7,2019,1,47.0,4.1,7.0,-13.0,278,0.0,0.0,9,4.1,20190109,-5.4,2019-01-09
9,1.6,2019,1,52.4,6.9,6.8,-8.4,278,0.0,0.0,10,3.1,20190110,-1.5,2019-01-10
10,0.5,2019,1,61.3,9.5,7.7,-9.0,278,0.0,0.0,11,4.9,20190111,-0.8,2019-01-11
11,0.2,2019,1,85.3,4.1,0.0,0.2,278,3.5,0.0,12,9.8,20190112,1.8,2019-01-12
12,0.8,2019,1,85.6,4.3,3.1,-1.8,278,0.0,0.0,13,8.4,20190113,0.8,2019-01-13
13,0.7,2019,1,85.1,4.9,2.4,-3.2,278,0.0,0.0,14,9.4,20190114,-0.8,2019-01-14
14,2.1,2019,1,61.5,7.2,5.6,-4.0,278,0.0,0.0,15,5.6,20190115,0.2,2019-01-15
15,1.7,2019,1,48.1,2.8,8.6,-10.2,278,0.0,0.0,16,1.3,20190116,-4.6,2019-01-16
16,1.5,2019,1,59.3,5.8,5.1,-9.3,278,0.0,0.0,17,4.0,20190117,-1.6,2019-01-17
17,1.0,2019,1,58.5,9.2,8.5,-10.1,278,0.0,0.0,18,2.1,20190118,-2.0,2019-01-18
18,0.4,2019,1,54.3,10.4,3.5,-5.4,278,0.0,0.0,19,8.4,20190119,1.3,2019-01-19
19,2.6,2019,1,41.4,6.9,8.6,-6.4,278,0.0,0.0,20,2.1,20190120,1.3,2019-01-20
20,2.0,2019,1,53.4,7.2,8.7,-10.1,278,0.0,0.0,21,0.0,20190121,-1.0,2019-01-21
21,1.5,2019,1,56.6,10.4,8.6,-7.8,278,0.0,0.0,22,0.0,20190122,1.1,2019-01-22
22,1.6,2019,1,55.1,10.8,8.4,-7.0,278,0.0,0.0,23,0.3,20190123,0.4,2019-01-23
23,0.8,2019,1,47.9,9.0,8.9,-9.6,278,0.0,0.0,24,0.0,20190124,-2.1,2019-01-24
24,1.8,2019,1,44.5,6.7,8.8,-10.2,278,0.0,0.0,25,1.4,20190125,-2.5,2019-01-25
25,1.4,2019,1,43.4,5.1,9.1,-12.0,278,0.0,0.0,26,0.0,20190126,-4.4,2019-01-26
26,1.0,2019,1,47.6,7.9,8.7,-13.4,278,0.0,0.0,27,1.1,20190127,-3.7,2019-01-27
27,2.2,2019,1,45.1,8.2,8.1,-5.7,278,0.0,0.0,28,3.1,20190128,0.4,2019-01-28
28,0.7,2019,1,49.0,10.1,8.8,-10.9,278,0.0,0.0,29,2.4,20190129,-2.2,2019-01-29
29,0.9,2019,1,40.0,11.8,7.8,-7.1,278,0.0,0.0,30,7.0,20190130,1.6,2019-01-30
30,0.7,2019,1,67.6,3.4,1.2,-7.2,278,1.5,0.0,31,6.8,20190131,-0.2,2019-01-31
31,1.6,2019,2,59.9,5.3,9.1,-11.3,278,0.0,0.0,1,0.0,20190201,-3.3,2019-02-01
32,1.0,2019,2,60.9,10.2,9.0,-10.0,278,0.0,0.0,2,3.9,20190202,-0.4,2019-02-02
33,0.7,2019,2,84.8,7.5,0.0,0.4,278,8.5,0.0,3,8.5,20190203,3.4,2019-02-03
34,2.2,2019,2,40.9,8.5,8.9,-3.6,278,0.0,0.0,4,2.6,20190204,2.2,2019-02-04
35,0.7,2019,2,50.4,11.9,7.9,-7.7,278,0.0,0.0,5,5.0,20190205,0.8,2019-02-05
36,0.7,2019,2,55.8,14.7,7.5,-5.4,278,0.0,0.0,6,5.1,20190206,3.9,2019-02-06
37,2.3,2019,2,47.4,8.2,5.7,-3.2,278,0.0,0.0,7,6.0,20190207,2.7,2019-02-07
38,0.9,2019,2,39.3,5.3,7.7,-7.9,278,0.0,0.0,8,6.8,20190208,-1.8,2019-02-08
