year,station,dvs,mdvr,cd,obj
2004,ulju,1900-03-31,1900-04-12,1900-04-14,
2005,ulju,1900-04-11,1900-04-19,1900-04-23,
2006,ulju,1900-03-30,1900-04-17,1900-04-18,
2007,ulju,1900-03-24,1900-04-13,1900-04-12,
2008,ulju,1900-04-07,1900-04-16,1900-04-19,
2009,ulju,1900-03-20,1900-04-12,1900-04-10,
2010,ulju,1900-04-08,1900-04-27,1900-05-03,
2011,ulju,1900-04-15,1900-04-23,1900-04-30,
2012,ulju,1900-04-11,1900-04-22,1900-04-26,
2013,ulju,1900-04-06,1900-04-18,1900-04-24,
2014,ulju,1900-04-01,1900-04-15,1900-04-17,
2015,ulju,1900-04-15,1900-04-22,1900-04-26,
2016,ulju,1900-04-09,1900-04-18,1900-04-20,
2017,ulju,1900-04-08,1900-04-19,1900-04-23,
2018,ulju,1900-04-10,1900-04-15,1900-04-20,
2019,ulju,1900-04-04,1900-04-18,1900-04-20,
2020,ulju,1900-03-24,1900-04-18,1900-04-19,
2021,ulju,1900-03-23,1900-04-13,1900-04-13,
2022,ulju,1900-04-07,1900-04-16,1900-04-19,1900-04-08
2023,ulju,1900-03-30,1900-04-10,1900-04-11,1900-03-31
2024,ulju,1900-04-03,1900-04-14,1900-04-17,
