,day,year,Date,date,sunshine,wind,snow,tmin,rainfall,tmax,station_id,tavg,cloud,humid,month
0,1,2010,2010-01-01,20100101,6.7,1.2,0.0,-13.6,0.0,-3.0,119,-7.1,4.0,59.1,1
1,2,2010,2010-01-02,20100102,0.0,2.1,0.6,-5.9,0.5,1.3,119,-2.2,6.3,76.9,1
2,3,2010,2010-01-03,20100103,8.1,1.1,0.0,-9.9,0.0,-2.0,119,-5.7,2.5,56.4,1
3,4,2010,2010-01-04,20100104,0.4,2.6,19.5,-6.6,11.2,-2.5,119,-5.1,7.8,90.8,1
4,5,2010,2010-01-05,20100105,8.1,2.2,0.1,-12.0,0.1,-5.4,119,-8.7,1.9,72.0,1
5,6,2010,2010-01-06,20100106,6.6,1.2,0.0,-18.6,0.0,-5.7,119,-12.0,2.0,77.6,1
6,7,2010,2010-01-07,20100107,8.8,0.8,0.0,-17.7,0.0,-4.7,119,-11.2,0.1,76.6,1
7,8,2010,2010-01-08,20100108,7.6,0.7,0.0,-16.4,0.0,-1.6,119,-9.6,0.0,79.3,1
8,9,2010,2010-01-09,20100109,0.4,0.6,0.4,-12.0,0.3,-1.2,119,-6.1,6.4,87.4,1
9,10,2010,2010-01-10,20100110,3.5,0.9,0.0,-8.4,0.0,1.6,119,-4.0,5.0,86.4,1
10,11,2010,2010-01-11,20100111,0.1,1.2,0.0,-10.9,0.0,-0.9,119,-5.8,5.9,84.8,1
11,12,2010,2010-01-12,20100112,7.5,2.0,0.0,-12.1,0.0,-5.3,119,-8.8,1.8,59.3,1
12,13,2010,2010-01-13,20100113,8.9,2.4,0.0,-14.7,0.0,-8.3,119,-11.9,0.0,55.9,1
13,14,2010,2010-01-14,20100114,6.6,1.0,0.0,-17.7,0.0,-3.6,119,-9.4,2.8,66.9,1
14,15,2010,2010-01-15,20100115,6.5,1.6,0.9,-7.5,0.6,1.4,119,-4.1,3.8,70.5,1
15,16,2010,2010-01-16,20100116,8.9,0.9,0.0,-14.5,0.0,-0.7,119,-7.3,0.5,68.5,1
16,17,2010,2010-01-17,20100117,8.8,0.6,0.0,-13.4,0.0,3.2,119,-5.7,0.6,71.8,1
17,18,2010,2010-01-18,20100118,0.2,0.6,0.0,-9.4,0.0,4.5,119,-1.9,7.4,78.4,1
