,day,year,Date,date,sunshine,wind,snow,tmin,rainfall,tmax,station_id,tavg,cloud,humid,month
0,1,2023,2023-01-01,20230101,9.0,1.8,0.0,-6.6,0.0,3.5,119,-2.1,1.5,63.1,1
1,2,2023,2023-01-02,20230102,9.2,2.0,0.0,-9.1,0.0,-1.7,119,-5.6,0.0,54.9,1
2,3,2023,2023-01-03,20230103,9.2,1.4,0.0,-11.4,0.0,-0.2,119,-6.3,0.0,62.8,1
3,4,2023,2023-01-04,20230104,8.8,1.2,0.0,-9.2,0.0,2.5,119,-3.1,1.4,70.9,1
4,5,2023,2023-01-05,20230105,2.2,0.8,0.0,-9.0,0.0,2.1,119,-3.6,2.8,80.1,1
5,6,2023,2023-01-06,20230106,5.6,1.3,0.0,-7.8,5.5,4.1,119,-0.9,5.6,84.1,1
6,7,2023,2023-01-07,20230107,5.3,2.2,0.0,-3.8,0.1,3.0,119,0.5,4.5,88.0,1
7,8,2023,2023-01-08,20230108,7.2,0.9,0.0,-6.0,0.0,4.9,119,0.2,3.5,77.9,1
8,9,2023,2023-01-09,20230109,7.8,1.9,0.0,-3.0,0.0,6.8,119,2.3,3.4,64.3,1
9,10,2023,2023-01-10,20230110,8.8,0.9,0.0,-6.3,0.0,7.2,119,-0.2,1.6,73.4,1
10,11,2023,2023-01-11,20230111,8.6,0.8,0.0,-4.9,0.0,7.4,119,0.2,1.0,83.3,1
11,12,2023,2023-01-12,20230112,9.1,1.1,0.0,-4.0,0.1,12.6,119,4.7,2.4,62.3,1
12,13,2023,2023-01-13,20230113,0.0,1.5,0.0,4.2,25.2,9.4,119,7.1,10.0,99.5,1
13,14,2023,2023-01-14,20230114,0.0,1.2,0.0,3.2,3.7,6.7,119,4.9,10.0,99.8,1
14,15,2023,2023-01-15,20230115,0.0,2.5,0.9,-3.7,2.3,3.3,119,-1.5,9.5,98.9,1
15,16,2023,2023-01-16,20230116,7.9,2.5,9.0,-7.4,0.0,-1.0,119,-5.2,1.8,67.6,1
