station,year,date
Icheon,2004,
Icheon,2005,
Icheon,2006,
Icheon,2007,
Icheon,2008,
Icheon,2009,
Icheon,2010,
Icheon,2011,
Icheon,2012,
Icheon,2013,
Icheon,2014,
Icheon,2015,
Icheon,2016,
Icheon,2017,
Icheon,2018,2018-04-25
Icheon,2019,2019-05-03
Icheon,2020,2020-05-02
Icheon,2021,
Icheon,2022,
Icheon,2023,
Icheon,2024,
