station,year,Date
naju,2004,2004-04-24
naju,2005,2005-04-25
naju,2006,2006-04-30
naju,2007,2007-04-30
naju,2008,2008-04-20
naju,2009,2009-04-24
naju,2010,2010-05-04
naju,2011,2011-04-30
naju,2012,2012-04-28
naju,2013,2013-05-05
naju,2014,2014-04-23
naju,2015,2015-04-23
naju,2016,2016-04-23
naju,2017,2017-04-28
naju,2018,2018-04-21
naju,2019,2019-04-27
naju,2020,2020-05-03
naju,2021,2021-04-26
naju,2022,2022-04-23
naju,2023,2023-04-23
naju,2024,2024-04-20
