station,year,Date
ulju,2004,2004-04-22
ulju,2005,2005-04-23
ulju,2006,2006-04-30
ulju,2007,2007-04-27
ulju,2008,2008-04-22
ulju,2009,2009-04-29
ulju,2010,2010-05-04
ulju,2011,2011-04-30
ulju,2012,2012-04-25
ulju,2013,2013-04-29
ulju,2014,2014-04-22
ulju,2015,2015-04-27
ulju,2016,2016-04-25
ulju,2017,2017-04-28
ulju,2018,2018-04-21
ulju,2019,2019-05-01
ulju,2020,2020-05-02
ulju,2021,2021-04-30
ulju,2022,2022-04-25
ulju,2023,2023-04-28
ulju,2024,2024-04-22
