,cloud,sunshine,day,month,tmax,wind,date,rainfall,station_id,tmin,snow,Date,year,humid,tavg
0,3.4,7.4,1,1,-2.3,0.7,20100101,0.0,127,-14.8,0.0,2010-01-01,2010,55.6,-8.4
1,7.8,0.0,2,1,-0.2,0.5,20100102,1.0,127,-5.2,1.0,2010-01-02,2010,79.4,-3.3
2,1.6,7.4,3,1,-1.8,1.0,20100103,0.0,127,-12.9,0.0,2010-01-03,2010,61.6,-6.6
3,9.4,0.0,4,1,-1.5,2.5,20100104,8.7,127,-6.3,15.6,2010-01-04,2010,87.6,-4.3
4,4.1,5.1,5,1,-5.1,1.9,20100105,0.0,127,-16.2,0.0,2010-01-05,2010,71.1,-9.2
5,0.6,7.3,6,1,-6.0,1.1,20100106,0.0,127,-21.4,0.0,2010-01-06,2010,70.8,-13.6
6,1.5,7.3,7,1,-4.7,0.8,20100107,0.0,127,-19.6,0.0,2010-01-07,2010,72.8,-13.7
7,2.5,7.5,8,1,-2.2,0.6,20100108,0.0,127,-18.8,0.0,2010-01-08,2010,74.8,-11.7
8,7.5,0.0,9,1,-2.8,0.3,20100109,0.0,127,-15.0,0.0,2010-01-09,2010,81.0,-7.8
9,6.1,2.8,10,1,-0.2,0.7,20100110,0.0,127,-10.9,0.0,2010-01-10,2010,80.9,-5.8
10,7.8,0.9,11,1,-0.2,1.1,20100111,0.0,127,-11.4,0.0,2010-01-11,2010,76.3,-4.9
11,3.1,7.0,12,1,-4.9,2.3,20100112,0.0,127,-14.3,0.0,2010-01-12,2010,56.3,-8.8
12,0.0,8.1,13,1,-7.4,2.7,20100113,0.0,127,-17.1,0.0,2010-01-13,2010,50.4,-12.2
13,2.5,7.8,14,1,-2.9,0.7,20100114,0.0,127,-20.2,0.0,2010-01-14,2010,63.4,-11.5
14,2.9,6.5,15,1,0.4,0.7,20100115,0.1,127,-12.4,0.1,2010-01-15,2010,71.6,-6.5
15,2.3,6.9,16,1,-0.2,0.9,20100116,0.0,127,-15.5,0.0,2010-01-16,2010,69.8,-9.2
16,0.0,8.1,17,1,2.2,0.7,20100117,0.0,127,-15.6,0.0,2010-01-17,2010,66.8,-8.4
17,3.8,0.0,18,1,0.4,0.5,20100118,0.0,127,-12.4,0.0,2010-01-18,2010,77.1,-5.9
18,7.3,4.5,19,1,7.0,0.5,20100119,0.0,127,-10.5,0.0,2010-01-19,2010,76.1,-1.3
19,10.0,0.0,20,1,5.8,0.4,20100120,21.5,127,1.7,0.0,2010-01-20,2010,91.8,3.5
20,3.9,5.7,21,1,5.3,2.8,20100121,10.5,127,-5.9,0.0,2010-01-21,2010,67.3,-1.0
21,0.3,8.3,22,1,-1.6,2.8,20100122,0.0,127,-8.1,0.0,2010-01-22,2010,52.6,-5.6
22,0.4,8.4,23,1,-0.5,1.9,20100123,0.0,127,-9.4,0.0,2010-01-23,2010,57.0,-4.8
23,7.6,4.0,24,1,3.6,1.1,20100124,0.0,127,-7.6,0.0,2010-01-24,2010,66.6,-0.8
24,2.4,7.3,25,1,2.6,2.9,20100125,0.0,127,-6.6,0.0,2010-01-25,2010,51.4,-0.7
25,0.0,8.6,26,1,1.4,1.2,20100126,0.0,127,-11.4,0.0,2010-01-26,2010,56.0,-5.3
26,7.6,4.3,27,1,4.5,0.6,20100127,2.5,127,-8.2,0.0,2010-01-27,2010,76.1,-1.2
27,5.5,3.3,28,1,4.1,2.7,20100128,0.0,127,-2.6,0.0,2010-01-28,2010,67.3,1.6
28,4.0,3.6,29,1,2.1,1.9,20100129,0.0,127,-6.9,0.0,2010-01-29,2010,59.0,-2.2
29,4.6,3.1,30,1,5.1,1.0,20100130,0.0,127,-6.7,0.0,2010-01-30,2010,69.8,-0.7
30,3.4,6.2,31,1,7.4,0.7,20100131,0.0,127,-4.7,0.0,2010-01-31,2010,77.4,0.3
31,6.0,1.4,1,2,5.5,1.1,20100201,0.0,127,-2.0,0.0,2010-02-01,2010,80.0,0.4
32,1.3,8.2,2,2,-0.3,3.2,20100202,0.0,127,-7.0,0.0,2010-02-02,2010,34.4,-3.7
