station,year,cd
Chungju,2010,20100504
Chungju,2011,20110502
Chungju,2012,20120426
Chungju,2013,20130430
Chungju,2014,20140417
Chungju,2015,20150424
Chungju,2016,20160416
Chungju,2017,20170419
Chungju,2018,20180420
Chungju,2019,20190422
Chungju,2020,20200415
Chungju,2021,20210408
Chungju,2022,20220419
Chungju,2023,20230410
Chungju,2024,20240414
