,year,month,tmin,tavg,tmax
0,2020,April,-0.2225806451612904,7.009677419354838,14.238709677419354
0,2020,March,2.6833333333333327,10.226666666666667,17.683333333333337
0,2021,April,1.793548387096774,8.096774193548386,14.877419354838711
0,2021,March,6.313333333333333,13.143333333333334,19.693333333333328
