station,year,dvr2
Chungju,2010,20100423
Chungju,2011,20110426
Chungju,2012,20120428
Chungju,2013,20130428
Chungju,2014,20140413
Chungju,2015,20150418
Chungju,2016,20160413
Chungju,2017,20170425
Chungju,2018,20180414
Chungju,2019,20190420
Chungju,2020,20200411
Chungju,2021,20210407
Chungju,2022,20220415
Chungju,2023,20230414
Chungju,2024,20240409
