station,year,dvr1
Chungju,2010,20100503
Chungju,2011,20110506
Chungju,2012,20120425
Chungju,2013,20130505
Chungju,2014,20140422
Chungju,2015,20150428
Chungju,2016,20160419
Chungju,2017,20170425
Chungju,2018,20180421
Chungju,2019,20190424
Chungju,2020,20200428
Chungju,2021,20210415
Chungju,2022,20220418
Chungju,2023,20230418
Chungju,2024,20240414
